OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
67019,FLYING J CARDLOCK #829,HWY 3,Creston                                 ,BC,50,5.1605136,49.0965095,-116.5152789
67019,FLYING J CARDLOCK #829,HWY 3,Creston                                 ,BC,50,5.15975275,49.0965095,-116.5152789
67019,FLYING J CARDLOCK #829,HWY 3,Creston                                 ,BC,50,5.15026093,49.0965095,-116.5152789
67020,FLYING J CARDLOCK #828,HWY 95A,Cranbrook,BC,50,5.0109894,49.686443,-115.973838
67020,FLYING J CARDLOCK #828,HWY 95A,Cranbrook,BC,50,5.01246474,49.686443,-115.973838
67020,FLYING J CARDLOCK #828,HWY 95A,Cranbrook,BC,50,5.02022455,49.686443,-115.973838
67020,FLYING J CARDLOCK #828,HWY 95A,Cranbrook,BC,50,5.00988347,49.686443,-115.973838
67020,FLYING J CARDLOCK #828,HWY 95A,Cranbrook,BC,50,5.00877802,49.686443,-115.973838
67020,FLYING J CARDLOCK #828,HWY 95A,Cranbrook,BC,50,5.02096483,49.686443,-115.973838
67024,FLYING J FUEL STOP #811,HWY-1,Moose Jaw,SK,550,4.6295456,50.400607,-105.548671
67024,FLYING J FUEL STOP #811,HWY-1,Moose Jaw,SK,550,4.62102914,50.400607,-105.548671
67024,FLYING J FUEL STOP #811,HWY-1,Moose Jaw,SK,550,4.63022827,50.400607,-105.548671
67024,FLYING J FUEL STOP #811,HWY-1,Moose Jaw,SK,550,4.62000927,50.400607,-105.548671
67024,FLYING J FUEL STOP #811,HWY-1,Moose Jaw,SK,550,4.61898985,50.400607,-105.548671
67024,FLYING J FUEL STOP #811,HWY-1,Moose Jaw,SK,550,4.62238967,50.400607,-105.548671
67027,FLYING J FUEL STOP #806,HWY 11,Kapuskasing,ON,460,5.30006238,49.4125357,-82.4289586
67027,FLYING J FUEL STOP #806,HWY 11,Kapuskasing,ON,460,5.28953245,49.4125357,-82.4289586
67027,FLYING J FUEL STOP #806,HWY 11,Kapuskasing,ON,460,5.2910898,49.4125357,-82.4289586
67027,FLYING J FUEL STOP #806,HWY 11,Kapuskasing,ON,460,5.28719815,49.4125357,-82.4289586
67027,FLYING J FUEL STOP #806,HWY 11,Kapuskasing,ON,460,5.29928094,49.4125357,-82.4289586
67027,FLYING J FUEL STOP #806,HWY 11,Kapuskasing,ON,460,5.28836504,49.4125357,-82.4289586
67030,LOVES TRAVEL STOP #337,"I-90 & I-35, EXIT 11",Albert Lea,MN,515,4.089,41.9277597,-87.6873745
67031,FLYING J CARDLOCK #798,HWY 91,Delta,BC,800,5.17963978,49.1679942,-122.9468594
67031,FLYING J CARDLOCK #798,HWY 91,Delta,BC,800,5.17697241,49.1679942,-122.9468594
67031,FLYING J CARDLOCK #798,HWY 91,Delta,BC,800,5.18765839,49.1679942,-122.9468594
67031,FLYING J CARDLOCK #798,HWY 91,Delta,BC,800,5.17811523,49.1679942,-122.9468594
67031,FLYING J CARDLOCK #798,HWY 91,Delta,BC,800,5.18842336,49.1679942,-122.9468594
67031,FLYING J CARDLOCK #798,HWY 91,Delta,BC,800,5.1758301,49.1679942,-122.9468594
67034,LOVES TRAVEL STOP #356,"I-75, EXIT 167",North Baltimore,OH,550,3.34733333,41.171403,-83.649148
67037,LOVES TRAVEL STOP #332,I-71 EXIT 204,Burbank,OH,305,3.689,40.987174,-81.994823
67038,PILOT TRAVEL CENTERS #260,US-82/SR-520 & SR-300,Albany,GA,10,3.799,40.502254,-82.019996
67038,PILOT TRAVEL CENTER #260,US-82/SR-520 & SR-300,Albany,GA,10,3.799,40.502254,-82.019996
67039,ROAD RANGER #145,"I-44, EXIT 275",Fenton,MO,540,3.359,38.536552,-90.454252
67040,FLYING J TRAVEL PLAZA #603,US-431/SR-210 & US-231/SR-1,Dothan,AL,20,3.999,40.3798037,-79.2905134
67041,CIRCLE K #4707040,"I-95, EXIT 133 & US-201",Skowhegan,ME,170,3.72566666,30.208407,-91.825362
67044,PILOT TRAVEL CENTER #1212,"I-10, EXIT 45",Salome,AZ,930,3.959,33.781006,-113.604738
67044,PILOT #1212,"I-10, EXIT 45",Salome,AZ,930,3.959,33.781006,-113.604738
67047,Circle K #2746490,"I-90, EXIT 332",Mitchell,SD,455,3.064,43.712401,-98.029161
67049,FLYING J TRAVEL PLAZA #785,"HWY 2, EXIT 240",Calgary                                 ,AB,50,4.59317483,51.011271,-114.466686
67049,FLYING J TRAVEL PLAZA #785,"HWY 2, EXIT 240",Calgary                                 ,AB,50,4.59216111,51.011271,-114.466686
67049,FLYING J TRAVEL PLAZA #785,"HWY 2, EXIT 240",Calgary                                 ,AB,50,4.59114784,51.011271,-114.466686
67049,FLYING J TRAVEL PLAZA #785,"HWY 2, EXIT 240",Calgary                                 ,AB,50,4.60163996,51.011271,-114.466686
67049,FLYING J TRAVEL PLAZA #785,"HWY 2, EXIT 240",Calgary                                 ,AB,50,4.60231851,51.011271,-114.466686
67049,FLYING J TRAVEL PLAZA #785,"HWY 2, EXIT 240",Calgary                                 ,AB,50,4.59452716,51.011271,-114.466686
67051,PILOT TRAVEL CENTERS #208,"I-44, EXIT 257",Pacific                                 ,MO,540,3.324,38.669596,-92.876328
67053,TA LAREDO TRAVEL CENTER,"I-35/US-83, EXIT 13",Laredo,TX,693,3.649,27.53548,-99.483817
67054,LOVES TRAVEL STOPS #436,"I-80, EXIT 118",Salt Lake City,UT,835,3.649,40.744212,-111.677235
67054,LOVES TRAVEL STOP #436,"I-80, EXIT 118",Salt Lake City,UT,835,3.777,40.744212,-111.677235
67055,FLYING J TRAVEL PLAZA #641,I-15,Mccammon,ID,825,3.749,42.6504719,-112.193022
67056,Arco,US-2 & US-59,Erskine,MN,355,3.399,44.998299,-73.34461
67057,PILOT TRAVEL CENTERS #146,"I-90, EXIT 12",Castleton On Hudson,NY,12,3.999,42.691291,-73.821315
67058,PILOT TRAVEL CENTERS #368,"I-72, EXIT 144",Decatur                                 ,IL,280,3.599,39.847216,-88.966562
67058,PILOT TRAVEL CENTER #368,"I-72, EXIT 144",Decatur                                 ,IL,280,3.559,39.847216,-88.966562
67058,PILOT TRAVEL CENTER #368,"I-72, EXIT 144",Decatur                                 ,IL,280,3.459,39.847216,-88.966562
67058,PILOT TRAVEL CENTERS #368,"I-72, EXIT 144",Decatur                                 ,IL,280,3.499,39.847216,-88.966562
67060,PILOT TRAVEL CENTERS #151,"I-5, EXIT 99NE",Olympia,WA,977,4.599,47.047456,-122.896902
67063,PILOT TRAVEL CENTERS #330,"I-35, EXIT 184 SW",New Braunfels,TX,740,3.399,29.694703,-98.116089
67064,LOVES TRAVEL STOP #385,"I-40, EXIT 101 & US-281",Hinton,OK,483,3.38566666,48.2795292,22.1164167
67065,TA GREENWOOD TRAVEL CENTER,"I-20, EXIT 5 & US-79",Greenwood,LA,745,3.16566666,34.4613623,-85.5866533
67066,LOVES TRAVEL STOP #361,"I-80, EXIT 168",Newton,IA,320,3.76233333,41.699365,-93.040462
67067,LOVES TRAVEL STOP #377,"I-76/US-6, EXIT 31 & SR-52",Hudson,CO,800,3.459,33.716147,73.092218
67069,FLYING J FUEL STOP #621,"I-70, EXIT 359 & US-24",Limon,CO,800,3.899,30.208407,-91.825362
67069,FLYING J TRAVEL PLAZA #621,"I-70, EXIT 359 & US-24",Limon,CO,800,3.874,30.208407,-91.825362
67070,CASEYS #4225,"SR-155N, EXIT 26-A",Nashville,TN,460,3.06233333,36.236907,-86.834683
67071,FAS MART #5154,"I-270, EXIT 3 & SR-3",Hartford,IL,574,3.299,34.4733114,-85.5976635
67071,FAS MART #5154,"I-270, EXIT 3 & SR-3",Hartford,IL,574,3.279,34.4733114,-85.5976635
67073,PILOT TRAVEL CENTERS #81,"I-79, EXIT 99",Portersville,PA,165,4.259,40.924564,-80.145351
67075,CM FOREST GOLD,SR-16,Amite,LA,600,3.399,30.7265682,-90.522491
67076,CASH MAGIC LUCKY MAGNOLIA,SR-63/SR-16,Denham Springs,LA,600,3.399,30.469044,-90.960085
67077,CASH MAGIC BROUSSARD SOUTH,US-90,Broussard,LA,600,3.399,30.1379435,-91.9451024
67078,CASH MAGIC SILVER FOX,SR-63/SR-16,Denham Springs,LA,600,3.399,30.469044,-90.960085
67082,PILOT TRAVEL CENTERS #179,"I-81, EXIT 5-B",Hagerstown,MD,22,3.959,39.644106,-77.722476
67086,SPEEDWAY #7945,SR-24,Swansboro,NC,205,3.699,34.73164,-76.760201
67087,SPEEDWAY #8189,"I-40, EXIT 408 & SR-210 & US-117",Rocky Point,NC,245,3.60566666,48.2795292,22.1164167
67088,PILOT #4580,"I-26, EXIT 82",Prosperity,SC,30,3.42566666,34.209216,-81.532998
67090,LOVES TRAVEL STOP #373,US-69 & PLATTER RD,Calera,OK,253,3.229,42.6298173,-93.6369705
67091,SPEEDWAY #7903,SR-211,Raeford,NC,63,3.699,35.24236,-79.091849
67092,SPEEDWAY #8288,US-64 & SR-149,Plymouth,NC,177,3.20733333,36.4762617,-105.7308479
67094,SPEEDWAY #7943,US-64/SR-49 & US-220,Asheboro,NC,65,3.54233333,40.9409458,-84.7085599
67095,SPEEDWAY #8297,US-17 & US-17 BYP,Chocowinity,NC,205,3.13233333,32.8032175,-79.9178066
